"Individual","Time","Phenotype","X1","X2"
1,1,2.55633684918624,-0.0461028296710993,0.299559039866351
1,26,0.392789575163639,-1.00257551237699,0.458891328721066
1,31,2.20072522310044,0.340419044452272,-0.449172898403646
1,32,4.13344162517664,-1.16261869768424,-0.741563846555871
1,50,8.00968893934895,1.29403492031324,1.20071262970535
1,58,-1.93396482413678,0.752857208341002,-2.44819090253217
1,85,-0.899452632193492,-0.80925463815012,1.21280843465378
1,90,4.10229320456382,-0.870115277962844,-0.829455846486352
1,98,3.21004882707713,0.238987977913449,0.192807539784811
2,3,3.32365769723504,-0.0150223336290284,0.982778834302509
2,17,2.41751603234261,-1.86994801119503,-0.531522222206964
2,20,2.54432458164309,-1.55681398848206,-0.50979926813118
2,35,2.87831887931422,0.498389057726709,-1.21455221782193
2,46,3.54927926296641,1.08913210956967,-0.451013316989798
2,53,4.48884683280606,0.780719600804552,0.212910356747265
2,54,2.57986055040443,-0.984316358318808,-0.405726471439232
2,63,5.19041065561747,1.38890586896565,0.111656505462559
2,68,0.913945444634299,-0.696971844665873,0.969900174729854
2,93,3.12476324990816,0.0292990091143609,-0.482418891072599
3,7,1.16258339086255,0.201422440372309,-1.20263331591239
3,14,1.84835611145651,-0.38542104299071,0.22384437068015
3,21,-3.56155569485421,1.7968236458689,-0.795633641144977
3,34,1.0870911279548,-1.74323199828042,0.124365408672639
3,35,-0.444316332107353,0.498389057726709,-1.21455221782193
3,43,-1.72285435203411,1.35795105732827,-0.683708347310986
3,62,-6.7763618033099,-1.49314941932133,1.26173780684772
3,66,8.53570637745639,-0.962068800647789,-1.44685250736435
3,82,7.75994174544599,-0.721958146271287,-1.75531802789649
3,89,4.95180767100533,-0.961345077263466,-0.713440397411657
3,92,0.496721094248848,1.30007780063358,-0.380216341525727
3,95,8.85129972780746,-0.990613843273336,-1.53636856198892
4,8,2.50275337956414,-0.462178170755126,-0.116482993686304
4,9,-6.25904481669152,1.53012156789869,-1.26846651913646
4,36,-2.71726938665669,-0.787332199506057,2.17000235014336
4,37,-0.0789237349432512,0.914283197365837,-0.268472049554492
4,81,3.42360726660274,-1.17702006618079,0.0838815436902651
4,92,-1.15172799290315,1.30007780063358,-0.380216341525727
4,98,2.05332020870756,0.238987977913449,0.192807539784811
5,8,3.81929645021447,-0.462178170755126,-0.116482993686304
5,10,5.72165976744912,-1.11966251827131,-0.500816920739607
5,22,3.10717202260601,-0.67180194600085,0.468186173784724
5,25,4.15079119454044,0.244139841573906,0.512280324962224
5,35,1.6689447077162,0.498389057726709,-1.21455221782193
5,37,2.97900185362122,0.914283197365837,-0.268472049554492
5,39,4.06356222864222,-0.491339297512221,-0.27772705000315
5,47,2.85997138508625,-0.643448801640864,0.272016045220609
5,52,0.998513139030592,1.26702145532013,-0.601218394945817
5,75,3.68544331999561,-0.0633271318178459,-0.577015844083569
5,78,4.14192146374177,-0.116514114980841,-0.917136315306465
5,97,3.09524104373446,-0.102895078956851,0.733534950793876
6,8,3.57398504297976,-0.462178170755126,-0.116482993686304
6,13,3.29647505564127,0.217758511345775,0.0934553273607798
6,21,-1.35569082286716,1.7968236458689,-0.795633641144977
6,26,2.60723070745331,-1.00257551237699,0.458891328721066
6,34,3.63260112569785,-1.74323199828042,0.124365408672639
6,42,4.23293767131065,-0.604094479012923,-0.579695637315804
6,45,3.29163824556011,1.32350699632115,0.351174269785424
6,59,3.71589004300587,0.170591673669547,1.11058914707375
6,61,3.19415358155826,-0.126736425725658,0.804837275725302
6,67,3.93602203448013,-0.581983563089439,-0.712466545537292
