"Individual","Time","Phenotype","X1","X2","X3"
1,2,2.637313651,0.424404172,0.440104701,0.28128361219836
1,19,2.795179619,0.873798832,0.697554211,0.609498757347259
1,42,1.091320664,-0.992629011,-1.803935874,-1.27001142793876
1,45,2.559728198,0.179803771,0.234032024,-0.0160833982888194
1,56,0.739411319,-1.80215278,-1.379477957,-1.03936672543711
1,78,1.840952403,-0.707090226,-0.365314824,-0.352152424614501
1,87,2.351086335,-0.151758401,-0.150069545,-0.28848164693836
1,90,1.908100606,-0.204712551,0.335138785,0.0383324775724606
1,99,2.022569553,-0.338841673,-0.728373282,-0.952105096497826
2,10,1.579683648,-0.091581086,1.145934885,0.649273549443931
2,16,0.758125762,-0.990091873,0.530859912,0.297519200068594
2,17,1.185268049,-0.586797701,0.171715767,-0.336063553270042
2,32,2.006507233,0.205599641,-0.155721277,-0.148080839415977
2,37,0.772480534,-0.523806219,-1.857511793,-1.6186375121472
2,58,1.307962022,-0.188779119,-1.475956369,-1.4524319862225
2,74,2.622572743,0.557863806,1.037733067,0.975296617121248
2,75,2.743136606,0.721450355,-0.417580461,-0.468852994112909
3,2,1.569186049,0.424404172,0.440104701,0.169777333449699
3,4,-3.913559212,-0.44741083,-2.969571407,-2.36468617670316
3,6,-0.125254901,0.45770272,-1.055497673,-1.11554480660225
3,9,-1.637500886,-0.9370202,0.008365724,0.823118716407762
3,31,0.531442014,-0.192560426,0.572862712,0.310538955742636
3,36,-0.242170999,0.08488151,-0.384172429,-0.351538002275927
3,52,-0.307305748,0.163880395,-1.037059966,-0.555456700953052
3,85,-4.384724985,-1.309380193,-1.958498698,-1.67762030309177
4,11,0.885983464,-0.215930049,-0.064728254,0.246941505515255
4,28,-0.521551215,-0.904953517,-0.632277901,-0.7205698900274
4,31,0.315740706,-0.192560426,0.572862712,0.280550355387174
4,36,1.144448621,0.08488151,-0.384172429,-0.0576371835831463
4,40,0.367082384,-0.865360916,-0.466927818,-0.579107017746109
4,44,1.989035535,0.743595744,-0.356349262,-0.235220109743823
4,48,0.127730507,-0.720113006,0.945786829,0.463233125704895
4,49,2.295281071,1.104408769,-1.629438644,-0.861737960797369
4,58,0.624433422,-0.188779119,-1.475956369,-0.804715619620223
4,74,1.659386779,0.557863806,1.037733067,0.414224801701525
4,78,0.012831255,-0.707090226,-0.365314824,0.0292224585576229
4,88,2.296922557,0.95312443,1.104507272,0.111203487233977
4,91,0.701993471,-0.109126626,0.690567032,0.755940101927023
5,17,-0.466972869,-0.586797701,0.171715767,-0.00698990752018054
5,61,-1.58952203,-1.225294763,-1.110360039,-0.752380507478947
5,62,0.610763962,-0.217788024,1.533475771,0.573191751411183
5,63,1.373183873,0.257758963,-0.540750338,-0.373934699950743
5,97,2.816323351,1.024820496,1.704559361,1.25521265812612
6,2,1.977463285,0.424404172,0.440104701,0.256863720912824
6,21,1.180432964,-0.320521033,2.016734262,1.30074011176614
6,63,1.721733378,0.257758963,-0.540750338,-0.0534979903245381
6,70,0.145957339,-1.695998642,-0.204999199,-0.422500128141113
7,5,0.760913866,-0.197549663,0.27623519,-0.0565642552696512
7,47,-0.908938448,-1.804201215,0.698481032,-0.300717610721892
7,54,-0.54933349,-0.824108434,0.819005262,0.540267089401733
7,58,1.483185999,-0.188779119,-1.475956369,-1.18538454736915
7,68,0.428779148,-0.432256894,0.652285864,0.681853503971117
7,76,0.994994843,0.696351938,0.037219154,-0.0141104654892419
7,77,0.325260613,-0.385722915,0.249877272,0.213292085851887
7,80,2.55765133,2.116081453,-0.08461603,-0.0126994937625896
7,86,1.828254338,1.550182188,0.944087298,1.14614565267714
7,89,0.314109391,-0.542557928,-0.313247562,-0.553736458942238
7,93,-0.484501838,-2.107714632,-2.493602223,-1.5361620185978
7,95,0.888367628,0.115117176,0.058464724,0.762438410058089
8,4,-0.072782441,-0.44741083,-2.969571407,-1.96518275095089
8,5,0.801631576,-0.197549663,0.27623519,0.288012595960133
8,16,-1.58737235,-0.990091873,0.530859912,0.195434759323919
8,22,1.536582747,0.10201474,-1.529874131,-1.06988624377625
8,31,0.733137171,-0.192560426,0.572862712,0.584269128040663
8,47,-3.719654668,-1.804201215,0.698481032,0.798625743799864
8,64,3.411996563,0.791010008,1.005754911,0.731706608980101
8,68,-0.13596991,-0.432256894,0.652285864,0.364816982890583
