Replicate,Individual,Group,Individual_Trait,Trait,Time,Phenotype,B0,B1,B2,B12,I,S1,S2,S12,X1,X2,X1X2,G,e
1,1,1,1,1,2,2.637313651,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,0.424404172,0.440104701,0,0,-0.083094819
1,1,1,1,1,19,2.795179619,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,0.873798832,0.697554211,0,0,-0.317911865
1,1,1,1,1,42,1.091320664,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,-0.992629011,-1.803935874,0,0,-0.238028155
1,1,1,1,1,45,2.559728198,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,0.179803771,0.234032024,0,0,0.060090373
1,1,1,1,1,56,0.739411319,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,-1.80215278,-1.379477957,0,0,0.022637113
1,1,1,1,1,78,1.840952403,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,-0.707090226,-0.365314824,0,0,0.126025961
1,1,1,1,1,87,2.351086335,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,-0.151758401,-0.150069545,0,0,0.161889339
1,1,1,1,1,90,1.908100606,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,-0.204712551,0.335138785,0,0,-0.289843826
1,1,1,1,1,99,2.022569553,0.9,1.2,0.2,0,1.428541401,-0.387333538,-0.093279867,0,-0.338841673,-0.728373282,0,0,0.04712551
1,2,1,2,1,10,1.579683648,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,-0.091581086,1.145934885,0,0,-0.243122289
1,2,1,2,1,16,0.758125762,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,-0.990091873,0.530859912,0,0,0.070894157
1,2,1,2,1,17,1.185268049,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,-0.586797701,0.171715767,0,0,0.04070754
1,2,1,2,1,32,2.006507233,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,0.205599641,-0.155721277,0,0,-0.067800549
1,2,1,2,1,37,0.772480534,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,-0.523806219,-1.857511793,0,0,-0.280836448
1,2,1,2,1,58,1.307962022,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,-0.188779119,-1.475956369,0,0,-0.181324966
1,2,1,2,1,74,2.622572743,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,0.557863806,1.037733067,0,0,0.024545886
1,2,1,2,1,75,2.743136606,0.9,1.2,0.2,0,0.938904625,0.007402855,-0.117555022,0,0.721450355,-0.417580461,0,0,0.067578175
1,3,1,3,1,2,1.569186049,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,0.424404172,0.440104701,0,0,-0.025547296
1,3,1,3,1,4,-3.913559212,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,-0.44741083,-2.969571407,0,0,0.050937096
1,3,1,3,1,6,-0.125254901,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,0.45770272,-1.055497673,0,0,-0.055722552
1,3,1,3,1,9,-1.637500886,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,-0.9370202,0.008365724,0,0,-0.198411029
1,3,1,3,1,31,0.531442014,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,-0.192560426,0.572862712,0,0,-0.067501101
1,3,1,3,1,36,-0.242170999,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,0.08488151,-0.384172429,0,0,-0.253171464
1,3,1,3,1,52,-0.307305748,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,0.163880395,-1.037059966,0,0,0.288154871
1,3,1,3,1,85,-4.384724985,0.9,1.2,0.2,0,-0.603655208,0.662383204,0.954237503,0,-1.309380193,-1.958498698,0,0,0.018070549
1,4,1,4,1,11,0.885983464,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.215930049,-0.064728254,0,0,0.159626954
1,4,1,4,1,28,-0.521551215,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.904953517,-0.632277901,0,0,-0.406679013
1,4,1,4,1,31,0.315740706,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.192560426,0.572862712,0,0,-0.429276476
1,4,1,4,1,36,1.144448621,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,0.08488151,-0.384172429,0,0,0.041776056
1,4,1,4,1,40,0.367082384,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.865360916,-0.466927818,0,0,0.435735026
1,4,1,4,1,44,1.989035535,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,0.743595744,-0.356349262,0,0,0.073921077
1,4,1,4,1,48,0.127730507,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.720113006,0.945786829,0,0,0.039692819
1,4,1,4,1,49,2.295281071,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,1.104408769,-1.629438644,0,0,-0.085418375
1,4,1,4,1,58,0.624433422,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.188779119,-1.475956369,0,0,-0.157957755
1,4,1,4,1,74,1.659386779,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,0.557863806,1.037733067,0,0,-0.004269893
1,4,1,4,1,78,0.012831255,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.707090226,-0.365314824,0,0,-0.112207826
1,4,1,4,1,88,2.296922557,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,0.95312443,1.104507272,0,0,0.146560647
1,4,1,4,1,91,0.701993471,0.9,1.2,0.2,0,0.091791578,0.034049644,-0.21596416,0,-0.109126626,0.690567032,0,0,-0.14410611
1,5,1,5,1,17,-0.466972869,0.9,1.2,0.2,0,-0.1763069,0.452641561,-0.175909504,0,-0.586797701,0.171715767,0,0,-0.225036418
1,5,1,5,1,61,-1.58952203,0.9,1.2,0.2,0,-0.1763069,0.452641561,-0.175909504,0,-1.225294763,-1.110360039,0,0,-0.261492955
1,5,1,5,1,62,0.610763962,0.9,1.2,0.2,0,-0.1763069,0.452641561,-0.175909504,0,-0.217788024,1.533475771,0,0,0.21005421
1,5,1,5,1,63,1.373183873,0.9,1.2,0.2,0,-0.1763069,0.452641561,-0.175909504,0,0.257758963,-0.540750338,0,0,0.236534542
1,5,1,5,1,97,2.816323351,0.9,1.2,0.2,0,-0.1763069,0.452641561,-0.175909504,0,1.024820496,1.704559361,0,0,0.357905625
1,6,1,6,1,2,1.977463285,0.9,1.2,0.2,0,0.708858807,-0.036861305,-0.32811849,0,0.424404172,0.440104701,0,0,-0.068650887
1,6,1,6,1,21,1.180432964,0.9,1.2,0.2,0,0.708858807,-0.036861305,-0.32811849,0,-0.320521033,2.016734262,0,0,0.202765522
1,6,1,6,1,63,1.721733378,0.9,1.2,0.2,0,0.708858807,-0.036861305,-0.32811849,0,0.257758963,-0.540750338,0,0,-0.25621497
1,6,1,6,1,70,0.145957339,0.9,1.2,0.2,0,0.708858807,-0.036861305,-0.32811849,0,-1.695998642,-0.204999199,0,0,0.483515992
1,7,1,7,1,5,0.760913866,0.9,1.2,0.2,0,-0.158804438,-0.412091492,-0.500707863,0,-0.197549663,0.27623519,0,0,0.258435458
1,7,1,7,1,47,-0.908938448,0.9,1.2,0.2,0,-0.158804438,-0.412091492,-0.500707863,0,-1.804201215,0.698481032,0,0,-0.018549784
1,7,1,7,1,54,-0.54933349,0.9,1.2,0.2,0,-0.158804438,-0.412091492,-0.500707863,0,-0.824108434,0.819005262,0,0,-0.394925683
