"Individual","Time","Phenotype","X1"
1,2,7.147179467,4.59690697226095
1,4,5.421072618,2.02806770240377
1,6,4.541533992,1.02527538008053
1,26,4.693355749,1.11980214001526
1,51,4.789688997,1.00005730164168
1,74,3.974718299,0.60063084306313
1,79,4.191572524,0.814299637236801
1,83,4.929283735,1.12893262761715
1,90,3.278261133,0.389914844162963
1,99,4.992598188,1.17591872888809
2,20,2.860540753,0.8106186657292
2,25,3.226220024,1.29239343595816
2,30,2.784643723,0.973697482986247
2,32,2.04865638,0.422645665157813
2,49,2.361873314,0.745276922958502
2,52,3.402323679,1.49956477199111
2,66,4.395000422,2.49299982414024
2,68,1.961621087,0.430123854950489
2,73,4.31680824,3.43001871009101
2,79,3.042961164,0.814299637236801
3,1,4.403161845,0.968367293731533
3,15,5.13681323,1.54314636144621
3,18,4.021893438,0.589364839023548
3,22,4.352496367,0.558322614212916
3,33,4.427540014,0.729846353974498
3,41,5.157849989,1.30627911437586
3,45,5.969681458,2.33813986556479
3,47,5.454282366,1.84736555891702
3,48,5.081164687,0.705831302741304
3,53,5.593314616,2.4375605217073
4,4,5.075218397,2.02806770240377
4,9,1.067481594,0.0866933246340563
4,18,3.479652239,0.589364839023548
4,20,3.817386173,0.8106186657292
4,24,3.718018424,0.781980352056432
4,25,3.985598188,1.29239343595816
4,26,4.155314404,1.11980214001526
4,29,4.366552596,1.27046714557675
4,60,5.029584694,1.60750047721918
4,96,2.9200678,0.365600579623483
5,10,4.665940709,1.0578718887856
5,31,7.337411812,13.0433349173913
5,35,4.472471851,0.934028565662397
5,53,5.298864085,2.4375605217073
5,57,4.137158207,1.11988152000334
5,58,5.918812006,4.05117932869266
5,86,3.123770566,0.470947736955671
5,88,4.993420158,1.83856133566434
5,89,2.622922487,0.29767581850167
5,100,6.183899663,4.93046047830459
6,11,2.03419155,0.219143383329649
6,14,3.09080668,0.665325699195318
6,21,2.675474968,0.498152227976509
6,22,2.992343332,0.558322614212916
6,23,4.629882279,1.90745743236835
6,28,4.827004558,2.61083769035803
6,39,4.49089374,2.10111049058135
6,42,2.621116027,0.506657422014702
6,76,5.970825578,4.32460058573399
6,81,3.71813078,1.01826229590488
7,1,2.637764922,0.968367293731533
7,14,1.88774507,0.665325699195318
7,17,4.520394052,4.3546484903257
7,22,1.872424934,0.558322614212916
7,56,3.066036927,1.49892718616395
7,63,2.917124454,0.976892132394855
7,68,1.401206219,0.430123854950489
7,72,5.824079252,16.8012517405555
7,76,4.909341496,4.32460058573399
7,86,1.760572996,0.470947736955671
8,1,0.941048013,0.968367293731533
8,10,1.157227307,1.0578718887856
8,27,0.407025159,0.731595297630818
8,28,2.269419813,2.61083769035803
8,52,1.378110669,1.49956477199111
8,53,1.897249591,2.4375605217073
8,63,1.25585223,0.976892132394855
8,70,1.25349937,1.00751187865753
8,84,-0.418176293,0.34455238917963
8,89,-0.956719111,0.29767581850167
9,6,3.974932797,1.02527538008053
9,15,4.593932064,1.54314636144621
9,20,3.601147789,0.8106186657292
9,35,3.760623392,0.934028565662397
9,45,5.469791513,2.33813986556479
9,53,5.331020774,2.4375605217073
9,73,5.805131825,3.43001871009101
9,91,3.024070397,0.484135586548397
9,92,4.364385092,1.26070316530009
9,96,2.568147185,0.365600579623483
10,1,3.881622291,0.968367293731533
10,9,0.733960129,0.0866933246340563
10,11,2.041893615,0.219143383329649
10,13,4.105585436,1.663814082683
10,22,2.81435815,0.558322614212916
10,29,4.110437712,1.27046714557675
10,45,4.905642748,2.33813986556479
10,58,5.322965808,4.05117932869266
10,61,2.513882785,0.300440691663046
10,77,1.181101776,0.161091058843582
11,5,1.339756011,0.436683129072348
11,8,2.70399892,1.5557688815255
11,23,3.295918116,1.90745743236835
11,25,2.976489507,1.29239343595816
11,44,5.132935452,6.85495450341811
11,51,2.013804209,1.00005730164168
11,59,2.132628889,0.60847264887716
11,60,3.107646249,1.60750047721918
11,65,1.995355238,0.865456321364851
11,98,3.188783908,2.23554669182937
12,12,3.442949446,0.867748564083408
12,24,3.695362314,0.781980352056432
12,31,7.063411791,13.0433349173913
12,53,4.942548857,2.4375605217073
12,72,7.761716877,16.8012517405555
12,80,3.719831335,0.769482742388636
12,85,5.419732324,3.90380817952214
12,88,4.644012424,1.83856133566434
12,95,3.048692846,0.370516285776561
12,97,4.988712894,2.60764372964071
13,9,-0.510019878,0.0866933246340563
13,32,1.198500468,0.422645665157813
13,35,2.280390068,0.934028565662397
13,53,3.788244289,2.4375605217073
13,56,3.09388921,1.49892718616395
13,62,0.200148945,0.143701492748575
13,70,2.86455176,1.00751187865753
13,79,2.467504163,0.814299637236801
13,80,2.451189921,0.769482742388636
13,98,3.656813648,2.23554669182937
14,3,4.908367177,7.61169186156211
14,5,1.506754124,0.436683129072348
14,7,2.20828286,0.920990730851054
14,20,2.730193028,0.8106186657292
14,46,2.375307637,0.626461490633313
14,57,2.734165707,1.11988152000334
14,59,2.362034857,0.60847264887716
14,66,3.713439461,2.49299982414024
14,73,4.406223903,3.43001871009101
14,93,2.873560069,1.09310823837852
15,3,4.830418348,7.61169186156211
15,18,1.845259184,0.589364839023548
15,19,2.274620645,1.11000123840078
15,21,1.44199275,0.498152227976509
15,36,0.915513193,0.406652288376186
15,41,1.911612756,1.30627911437586
15,42,1.325630641,0.506657422014702
15,69,2.260732043,0.794167178206965
15,79,1.829494203,0.814299637236801
15,81,2.289711053,1.01826229590488
16,32,2.700176438,0.422645665157813
16,39,5.097530334,2.10111049058135
16,50,1.826170864,0.20176241200791
16,62,1.431145028,0.143701492748575
16,63,4.189246437,0.976892132394855
16,66,5.079001537,2.49299982414024
16,67,3.751943207,0.754822530729611
16,81,4.3526734,1.01826229590488
16,83,4.023079568,1.12893262761715
16,91,3.179137666,0.484135586548397
17,4,3.512852552,2.02806770240377
17,19,3.236248356,1.11000123840078
17,26,3.073905673,1.11980214001526
17,31,6.440032968,13.0433349173913
17,35,2.803642131,0.934028565662397
17,42,1.601895837,0.506657422014702
17,49,2.336141811,0.745276922958502
17,53,3.986955565,2.4375605217073
17,59,2.156469913,0.60847264887716
17,63,2.758936161,0.976892132394855
18,3,5.437316221,7.61169186156211
18,7,2.60314995,0.920990730851054
18,36,1.684073657,0.406652288376186
18,38,0.238523364,0.173667807989842
18,40,1.914643509,0.466468396019681
18,51,2.945845591,1.00005730164168
18,58,4.19529559,4.05117932869266
18,74,2.199649266,0.60063084306313
18,79,2.451248647,0.814299637236801
18,93,2.589391041,1.09310823837852
19,5,2.301126347,0.436683129072348
19,9,0.517873158,0.0866933246340563
19,11,1.559229781,0.219143383329649
19,35,3.479439755,0.934028565662397
19,41,4.214067831,1.30627911437586
19,45,4.841418459,2.33813986556479
19,46,3.160646627,0.626461490633313
19,57,3.917804301,1.11988152000334
19,60,4.355551045,1.60750047721918
19,63,3.231425009,0.976892132394855
20,1,3.602653395,0.968367293731533
20,30,3.600239483,0.973697482986247
20,34,4.77261343,1.98092251724311
20,46,3.002029855,0.626461490633313
20,49,3.664252311,0.745276922958502
20,53,4.987434022,2.4375605217073
20,56,3.869480657,1.49892718616395
20,65,3.472519558,0.865456321364851
20,83,3.989433772,1.12893262761715
20,94,1.897945809,0.243562996352435
21,15,3.493236205,1.54314636144621
21,33,2.166268694,0.729846353974498
21,49,2.141935748,0.745276922958502
21,71,5.233489041,6.7169498894544
21,75,1.732931457,0.507619429341468
21,78,2.701749756,1.2179883385734
21,80,2.084758482,0.769482742388636
21,84,1.497116658,0.34455238917963
21,86,1.637993107,0.470947736955671
