"","Individual","Phenotype","X1"
"1",1,-0.354554445092077,-1.47071036768698
"2",1,0.898692189844735,-0.465659112932571
"3",1,0.543573986988208,-0.915387115969286
"4",1,1.15757481406402,0.428367454652774
"5",1,1.63366813797715,0.911637791171582
"6",1,0.447558484589515,-1.41667867512548
"7",1,0.00958467978423622,-0.882962345685366
"8",1,0.707053369867163,0.190472412520788
"9",1,0.308717486845488,-1.28997993931616
"10",1,0.379580877711817,-0.902331249891481
"11",1,0.908051105168779,-0.405026577871539
"12",1,NA,0.524773599778121
"13",1,0.720817670080702,-0.459102550940861
"14",1,1.34286511518394,1.29462997986382
"15",1,0.838744370912152,0.351795588823001
"16",2,1.63377616272062,0.491219502299183
"17",2,2.54899615158228,-0.484002585514371
"18",2,2.16105768928426,0.0135843293505337
"19",2,1.59406350443831,2.20849278195381
"20",2,2.57618350368185,-1.41667867512548
"21",2,2.01214514175586,0.300056893765822
"22",2,2.02190569010346,-0.902331249891481
"23",2,1.49787806057389,1.72613467534371
"24",2,2.25736390667997,0.883937628125892
"25",2,2.63615756425491,-0.503963721013636
"26",2,2.39943959178354,-0.637279556258487
"27",2,2.16625639166832,-0.725424758348524
"28",2,2.06502753006164,-0.459102550940861
"29",2,1.70410861867564,1.00509489814799
"30",2,1.8436450783936,0.351795588823001
"31",3,0.161541575947658,-0.382686581156593
"32",3,-0.480356953356031,-0.374632225319175
"33",3,NA,0.0135843293505337
"34",3,NA,0.656254191436266
"35",3,0.00943943766862762,0.90478911017373
"36",3,0.714613030948722,1.47419677421005
"37",3,-0.579956794795903,-1.01954549902696
"38",3,-0.0138160276214248,-0.235801636842791
"39",3,-0.507618511563401,-0.725424758348524
"40",3,0.408118643706272,1.65863065493769
"41",3,-0.301099570619668,-0.637899661076335
"42",3,0.358483434358585,1.67382667283135
"43",3,-0.30442852155964,-0.669183882950813
"44",3,0.0711596023263194,1.29462997986382
"45",3,-0.0264185089224197,0.900522924750817
"46",4,0.730840800201871,-0.382686581156593
"47",4,0.606259237096497,0.298767208754409
"48",4,0.0437434695196753,2.20849278195381
"49",4,1.58960265205004,-1.28997993931616
"50",4,0.761989559387897,-0.185847006021778
"51",4,0.949209205281482,-0.284404167051494
"52",4,0.670435924333848,0.156875195755251
"53",4,0.626528886773071,0.139280792321868
"54",4,1.33510224882093,-0.936012948613429
"55",4,0.89148477006978,-0.405026577871539
"56",4,0.982740089010688,-0.669183882950813
"57",4,0.52058737554708,0.841090800952595
"58",4,0.213147443306945,1.00509489814799
"59",4,0.45943257729832,0.900522924750817
"60",4,0.218603833518102,1.19786699403762
"61",5,0.19358741832015,-0.912939051846451
"62",5,1.31189070862825,0.297009007735526
"63",5,1.09650520488864,0.428367454652774
"64",5,0.68979714757938,-0.622112013692982
"65",5,1.00629846045842,-0.29643135808207
"66",5,-0.487652510472251,-2.45944035223453
"67",5,0.981601148597119,-0.568929338551125
"68",5,1.12617321208324,-0.128736409434735
"69",5,0.677964133810763,-0.902331249891481
"70",5,0.653549718455065,-0.725424758348524
"71",5,0.799540972340299,-0.59683608559813
"72",5,0.0538461072254935,-2.05812289635879
"73",5,1.82060495204554,1.14085428698093
"74",5,0.275582767338307,-2.07108814216303
"75",5,1.31699928849998,0.900522924750817
"76",6,0.409746702989693,0.519068076638492
"77",6,0.798250523392128,-0.425412142539746
"78",6,0.988657508075212,-0.915387115969286
"79",6,0.896939266934723,-0.858259491213014
"80",6,0.748042624909005,-0.622112013692982
"81",6,0.586877260688942,-0.112526948921062
"82",6,1.247421262862,-0.902331249891481
"83",6,0.473243728421073,1.63640745973505
"84",6,0.559559913753854,-0.44929183721004
"85",6,0.727939323772864,0.50237469224554
"86",6,0.902651000902416,-0.266384891946201
"87",6,0.632436753080712,1.14085428698093
"88",6,0.425226510158036,1.00509489814799
"89",6,0.621571645782728,0.65428951323054
"90",6,0.232479267007967,1.29462997986382
"91",7,-1.72694879680843,-1.12698084133303
"92",7,-1.12782275987698,-0.382686581156593
"93",7,0.949390429520848,0.491219502299183
"94",7,-0.129209749722426,-0.110680279667383
"95",7,0.583554523800084,0.300056893765822
"96",7,-1.868877432957,-1.28997993931616
"97",7,1.73100973015537,1.47419677421005
"98",7,0.0718703080575491,0.156875195755251
"99",7,-0.268464711836596,-0.155101552263227
"100",7,NA,-1.01954549902696
"101",7,-1.36330051533503,-0.936012948613429
"102",7,-0.615597600911711,-0.405026577871539
"103",7,3.52419041257221,2.29034426503841
"104",7,1.45170165326077,0.907426546661403
"105",7,-0.73574612510246,-0.682732276621191
"106",8,-0.31779526586655,-1.47071036768698
"107",8,1.22963741669837,0.0135843293505337
"108",8,1.59400352673199,0.0846765050518812
"109",8,2.4427028025512,1.03462873214922
"110",8,NA,0.300056893765822
"111",8,1.39665874477589,0.190472412520788
"112",8,0.723277073168532,-0.568929338551125
"113",8,3.55205271046293,1.72613467534371
"114",8,0.94525303446683,-0.44929183721004
