"","X","Individual","Phenotype","X1"
"1",1,1,0.816922505288828,1.57677096115678
"2",2,1,0.522790368053495,0.19826166573019
"3",3,1,0.233069257227157,-1.25729339748639
"4",4,1,0.492799764525849,-1.34767849148521
"5",5,1,0.810023307860207,-0.592539906856951
"6",6,1,1.19699103393851,0.623607713430293
"7",7,1,1.88665704869284,0.931655357709926
"8",8,1,1.88518188119953,0.629627893934132
"9",9,1,1.69109170050596,-0.214650914136992
"10",10,1,1.74260490057188,-0.420778864069712
"11",11,1,1.87809508241225,-1.16101978706386
"12",12,1,2.09381302394649,-0.357453162434209
"13",13,1,2.19735741202976,-1.41473764687932
"14",14,1,2.24491427267535,-1.65205095481502
"15",15,1,3.17811918902371,0.591348183037791
"16",16,1,3.5269121758244,0.960621694403971
"17",17,1,3.4081384821573,0.24609869446848
"18",18,1,3.09375955141368,-1.39128346892347
"19",19,1,3.34188166864939,-1.22383266053099
"20",20,1,4.06443900661942,-0.399100760976956
"21",21,2,6.71574703457251,1.57677096115678
"22",22,2,5.25201395399838,0.19826166573019
"23",23,2,3.833101304823,-1.25729339748639
"24",24,2,3.8169175303156,-1.34767849148521
"25",25,2,4.96465096900749,-0.592539906856951
"26",26,2,6.57982013586439,0.623607713430293
"27",27,2,7.24524585454462,0.931655357709926
"28",28,2,7.08944147112265,0.629627893934132
"29",29,2,6.1054525499605,-0.214650914136992
"30",30,2,6.09564098851434,-0.420778864069712
"31",31,2,5.57309392572265,-1.16101978706386
"32",32,2,6.57572565634642,-0.357453162434209
"33",33,2,5.52883744815142,-1.41473764687932
"34",34,2,5.48571456477972,-1.65205095481502
"35",35,2,8.26010183059582,0.591348183037791
"36",36,2,8.79258768573635,0.960621694403971
"37",37,2,8.28330966331337,0.24609869446848
"38",38,2,6.63482855533972,-1.39128346892347
"39",39,2,7.00248941785047,-1.22383266053099
"40",40,2,8.30522029151882,-0.399100760976956
"41",41,3,11.5023284577646,1.57677096115678
"42",42,3,8.80949809054514,0.19826166573019
"43",43,3,5.87801369945815,-1.25729339748639
"44",44,3,5.86476088885519,-1.34767849148521
"45",45,3,7.76765762413233,-0.592539906856951
"46",46,3,10.4974345769583,0.623607713430293
"47",47,3,11.3883518388887,0.931655357709926
"48",48,3,10.8990761697069,0.629627893934132
"49",49,3,9.26063152023977,-0.214650914136992
"50",50,3,9.12032739481003,-0.420778864069712
"51",51,3,7.86530483178902,-1.16101978706386
"52",52,3,9.71195061717498,-0.357453162434209
"53",53,3,7.88275995969257,-1.41473764687932
"54",54,3,7.28377679761585,-1.65205095481502
"55",55,3,12.409402755115,0.591348183037791
"56",56,3,13.337829731975,0.960621694403971
"57",57,3,11.7194468569943,0.24609869446848
"58",58,3,8.69447567691312,-1.39128346892347
"59",59,3,9.16016742403933,-1.22383266053099
"60",60,3,11.2859039142984,-0.399100760976956
"61",61,4,13.2805482622333,1.57677096115678
"62",62,4,12.561859416109,0.19826166573019
"63",63,4,11.8482161434823,-1.25729339748639
"64",64,4,12.0146096853012,-1.34767849148521
"65",65,4,12.6579117385604,-0.592539906856951
"66",66,4,13.6755511241676,0.623607713430293
"67",67,4,14.3340007113215,0.931655357709926
"68",68,4,13.9946838030477,0.629627893934132
"69",69,4,13.6129287391171,-0.214650914136992
"70",70,4,13.8791370343337,-0.420778864069712
"71",71,4,13.3348856616668,-1.16101978706386
"72",72,4,14.4167975645573,-0.357453162434209
"73",73,4,13.6429263887798,-1.41473764687932
"74",74,4,13.5379299301005,-1.65205095481502
"75",75,4,15.4592035858517,0.591348183037791
"76",76,4,15.9569878420732,0.960621694403971
"77",77,4,15.552445408295,0.24609869446848
"78",78,4,14.6673990314657,-1.39128346892347
"79",79,4,15.083420160851,-1.22383266053099
"80",80,4,15.8898774279398,-0.399100760976956
"81",81,5,17.8446487520161,1.57677096115678
"82",82,5,16.6315903125338,0.19826166573019
"83",83,5,15.1784787398718,-1.25729339748639
"84",84,5,15.2103702479211,-1.34767849148521
"85",85,5,16.0794081974512,-0.592539906856951
"86",86,5,17.6705952802614,0.623607713430293
"87",87,5,18.4804419745077,0.931655357709926
"88",88,5,18.2773707474598,0.629627893934132
"89",89,5,17.4820457974113,-0.214650914136992
"90",90,5,17.3472399141843,-0.420778864069712
"91",91,5,16.9389932550001,-1.16101978706386
"92",92,5,17.9357217724069,-0.357453162434209
"93",93,5,16.9881855788399,-1.41473764687932
"94",94,5,16.8578413628798,-1.65205095481502
"95",95,5,19.885271092492,0.591348183037791
"96",96,5,20.1791052455632,0.960621694403971
"97",97,5,19.5588595702613,0.24609869446848
"98",98,5,17.9588441015916,-1.39128346892347
"99",99,5,18.5357964496487,-1.22383266053099
"100",100,5,19.530802086591,-0.399100760976956
